posteam,week,passer_player_name,passing_yard_ou
BAL,1,L.Jackson,237.5
KC,1,P.Mahomes,264.5
PHI,1,J.Hurts,243.5
GB,1,J.Love,245.5
PIT,1,R.Wilson,207.5
ATL,1,K.Cousins,249.5
PIT,1,J.Fields,191.5
TEN,1,W.Levis,229.5
CHI,1,C.Williams,233.5
HOU,1,C.Stroud,274.5
IND,1,A.Richardson,217.5
JAX,1,T.Lawrence,250.5
MIA,1,T.Tagovailoa,267.5
BUF,1,J.Allen,244.5
ARI,1,K.Murray,236.5
NE,1,J.Brissett,200.5
CIN,1,J.Burrow,252.5
CAR,1,B.Young,199.5
NO,1,D.Carr,231.5
MIN,1,S.Darnold,231.5
NYG,1,D.Jones,214.5
DEN,1,B.Nix,204.5
SEA,1,G.Smith,238.5
LAC,1,J.Herbert,239.5
LV,1,G.Minshew,217.5
DAL,1,D.Prescott,264.5
CLE,1,D.Watson,224.5
TB,1,B.Mayfield,226.5
WAS,1,J.Daniels,210.5
LA,1,M.Stafford,268.5
DET,1,J.Goff,259.5
NYJ,1,A.Rodgers,231.5
SF,1,B.Purdy,247.5